Sample	Richness	Exposure	NAP	Beach	grainsize	humus	chalk	sorting1
1	11	10	0.045	1	222.5	0.05	2.05	69.83
2	10	10	-1.036	1	200	0.3	2.5	59
3	13	10	-1.336	1	194.5	0.1	3.45	59.22
4	11	10	0.616	1	221	0.15	1.6	67.75
5	10	10	-0.684	1	202	0.05	2.45	57.76
6	8	8	1.19	2	192.5	0.1	2.5	53.075
7	9	8	0.82	2	205.5	0.1	1.85	54.41
8	8	8	0.635	2	211.5	0.1	1.7	60.405
9	19	8	0.061	2	205.5	0.15	2.3	58.81
10	17	8	-1.334	2	197	0	2.6	59.575
11	6	11	-0.976	3	330.5	0.05	3.4	101.33
12	1	11	1.494	3	272.5	0	2.55	66.17
13	4	11	-0.201	3	296.5	0.1	2.2	83.84
14	3	11	-0.482	3	304	0.05	1.95	78.075
15	3	11	0.167	3	323.5	0.1	1.9	105.955
16	1	11	1.768	4	293.5	0.05	7.1	87.685
17	3	11	-0.03	4	361	0	45.75	248.6
18	3	11	0.46	4	330.5	0.05	38.95	153.625
19	1	11	1.367	4	289.5	0	4.15	76.415
20	4	11	-0.811	4	297	0	28.85	96.965
21	3	10	1.117	5	251.5	0	0.85	80.03
22	22	10	-0.503	5	265	0	1.6	89.035
23	6	10	0.729	5	275.5	0.1	2.15	106.72
24	0	10	1.627	5	256.5	0	0.95	85.55
25	6	10	0.054	5	254.5	0.1	2.1	86.17
26	5	11	-0.578	6	351	0	17.65	150.08
27	4	11	-0.348	6	405.5	0.05	13.35	148.68
28	1	11	2.222	6	347.5	0	3.8	124.215
29	6	11	-0.893	6	336	0.05	15.5	151.665
30	4	11	0.766	6	354.5	0	7.35	136.99
31	2	11	0.883	7	266	0.05	11.35	126.685
32	1	11	1.786	7	256.5	0.0125	12.65	118.87375
33	1	11	1.375	7	234	0	9.15	93.585
34	3	11	-0.06	7	242	0	16.1	114.02
35	4	11	0.367	7	284	0	14	141.205
36	3	10	1.671	8	294.5	0	4.95	94.385
37	5	10	-0.375	8	316.5	0.1	7.2	115.445
38	7	10	-1.005	8	355	0	16.7	133.085
39	5	10	0.17	8	362	0	6	113.815
40	0	10	2.052	8	311.5	0	4.75	93.66
41	7	10	-0.356	9	244.5	0.05	5.75	89.39
42	11	10	0.094	9	247.5	0.2	4.95	76.905
43	3	10	-0.002	9	223	0	5.4	72.745
44	0	10	2.255	9	186	0.05	7.1	77.255
45	2	10	0.865	9	189.5	0	7.1	83.32
