Sample	GSI
1	10.4432
2	9.8331
3	9.7356
4	9.3107
5	8.9926
6	8.7707
7	8.2576
8	7.4045
9	7.2156
10	6.8372
11	6.3882
12	6.3672
13	6.2998
14	6.0726
15	5.8395
16	5.807
17	5.7774
18	5.7757
19	5.6484
20	5.6141
21	5.6017
22	5.551
23	5.311
24	5.297
25	5.2253
26	5.1667
27	5.1405
28	5.1292
29	5.0782
30	5.0612
31	5.0097
32	4.9745
33	4.9172
34	4.9041
35	4.9009
36	4.8783
37	4.7918
38	4.7862
39	4.7681
40	4.6603
41	4.6148
42	4.6108
43	4.5811
44	4.5528
45	4.4897
46	4.4573
47	4.3419
48	4.2968
49	4.2676
50	4.2048
51	4.1981
52	4.1006
53	4.0654
54	3.9219
55	3.9197
56	3.9141
57	3.5899
58	3.5008
59	3.2541
60	3.2487
61	3.2304
62	3.2263
63	3.1848
64	3.13
65	2.9683
66	2.9544
67	2.939
68	2.9327
69	2.8933
70	2.8593
71	2.8534
72	2.8188
73	2.8129
74	2.8037
75	2.7928
76	2.7601
77	2.6601
78	2.6492
79	2.6353
80	2.6341
81	2.6241
82	2.6151
83	2.6064
84	2.5951
85	2.5781
86	2.5674
87	2.5616
88	2.5545
89	2.5526
90	2.499
91	2.4789
92	2.4606
93	2.4559
94	2.4425
95	2.4356
96	2.4238
97	2.4145
98	2.4062
99	2.4038
100	2.402
101	2.4006
102	2.3993
103	2.3976
104	2.3923
105	2.3882
106	2.3848
107	2.3847
108	2.3746
109	2.3731
110	2.3723
111	2.3714
112	2.3496
113	2.3495
114	2.3282
115	2.3251
116	2.322
117	2.3018
118	2.3011
119	2.3
120	2.286
121	2.2739
122	2.2397
123	2.2392
124	2.2346
125	2.2333
126	2.2233
127	2.2004
128	2.187
129	2.1861
130	2.1664
131	2.1595
132	2.1571
133	2.1351
134	2.1322
135	2.0922
136	2.0816
137	2.0776
138	2.0694
139	2.0692
140	2.0688
141	2.058
142	2.0413
143	2.0259
144	2.0219
145	2.0017
146	1.9842
147	1.9821
148	1.9814
149	1.9621
150	1.9606
151	1.9531
152	1.9021
153	1.8667
154	1.8623
155	1.8468
156	1.8295
157	1.8123
158	1.7984
159	1.7695
160	1.7658
161	1.7217
162	1.7187
163	1.6963
164	1.6953
165	1.6927
166	1.6779
167	1.6679
168	1.6669
169	1.616
170	1.6157
171	1.6
172	1.5894
173	1.5658
174	1.5652
175	1.5375
176	1.5303
177	1.5284
178	1.528
179	1.5168
180	1.5011
181	1.49
182	1.4554
183	1.4546
184	1.451
185	1.4418
186	1.437
187	1.4348
188	1.4332
189	1.4224
190	1.3878
191	1.3794
192	1.3694
193	1.3402
194	1.3306
195	1.3258
196	1.309
197	1.2717
198	1.261
199	1.2585
200	1.2556
201	1.2392
202	1.2091
203	1.2007
204	1.1997
205	1.1983
206	1.181
207	1.1784
208	1.1496
209	1.147
210	1.1318
211	1.1313
212	1.1275
213	1.1014
214	1.0964
215	1.0565
216	1.042
217	1.0419
218	1.04
219	1.0375
220	1.0286
221	1.0226
222	1.0218
223	1.0215
224	1.001
225	0.9874
226	0.9872
227	0.9868
228	0.9824
229	0.968
230	0.9612
231	0.9479
232	0.9418
233	0.9369
234	0.9219
235	0.9172
236	0.9
237	0.8954
238	0.8877
239	0.8876
240	0.8761
241	0.8734
242	0.8567
243	0.8398
244	0.8373
245	0.8111
246	0.799
247	0.7363
248	0.7354
249	0.7294
250	0.7004
251	0.6882
252	0.6839
253	0.6767
254	0.6748
255	0.6716
256	0.66
257	0.6459
258	0.6379
259	0.6268
260	0.6255
261	0.6212
262	0.5876
263	0.5798
264	0.5758
265	0.5685
266	0.5602
267	0.556
268	0.5558
269	0.5556
270	0.5533
271	0.5518
272	0.5493
273	0.5463
274	0.5444
275	0.5318
276	0.5307
277	0.5175
278	0.4943
279	0.4921
280	0.4832
281	0.4808
282	0.4774
283	0.4756
284	0.4653
285	0.4506
286	0.4377
287	0.4259
288	0.4132
289	0.3976
290	0.3905
291	0.3904
292	0.3828
293	0.3763
294	0.3759
295	0.3659
296	0.3541
297	0.343
298	0.3421
299	0.3392
300	0.3392
301	0.3352
302	0.3289
303	0.3267
304	0.3122
305	0.3117
306	0.3041
307	0.3039
308	0.3028
309	0.2986
310	0.2895
311	0.2878
312	0.287
313	0.2828
314	0.2786
315	0.2783
316	0.2773
317	0.2758
318	0.2739
319	0.2738
320	0.2683
321	0.265
322	0.2642
323	0.2641
324	0.2638
325	0.2636
326	0.26
327	0.2577
328	0.2529
329	0.2506
330	0.2463
331	0.2388
332	0.2352
333	0.2321
334	0.2316
335	0.2294
336	0.226
337	0.2252
338	0.2242
339	0.2219
340	0.2214
341	0.2207
342	0.2204
343	0.22
344	0.2199
345	0.2191
346	0.2189
347	0.2178
348	0.217
349	0.216
350	0.2156
351	0.2144
352	0.2092
353	0.2065
354	0.2061
355	0.2056
356	0.2046
357	0.2034
358	0.2028
359	0.2024
360	0.1985
361	0.1979
362	0.1938
363	0.1935
364	0.1893
365	0.1892
366	0.1887
367	0.1875
368	0.1859
369	0.1847
370	0.1842
371	0.1827
372	0.1815
373	0.1792
374	0.1782
375	0.1775
376	0.175
377	0.1714
378	0.1681
379	0.1681
380	0.1664
381	0.1661
382	0.1657
383	0.1654
384	0.164
385	0.1621
386	0.162
387	0.1618
388	0.1611
389	0.1589
390	0.1569
391	0.1555
392	0.1549
393	0.1543
394	0.1541
395	0.1516
396	0.1504
397	0.1503
398	0.1497
399	0.1492
400	0.149
401	0.1473
402	0.1472
403	0.1466
404	0.1465
405	0.1436
406	0.1433
407	0.1415
408	0.1412
409	0.1405
410	0.1402
411	0.1401
412	0.14
413	0.1399
414	0.1398
415	0.1395
416	0.1392
417	0.139
418	0.1379
419	0.137
420	0.1352
421	0.1347
422	0.1346
423	0.1344
424	0.134
425	0.1337
426	0.1336
427	0.133
428	0.132
429	0.1319
430	0.1318
431	0.1316
432	0.1307
433	0.1298
434	0.127
435	0.1261
436	0.1261
437	0.1239
438	0.1218
439	0.1218
440	0.1212
441	0.1205
442	0.1201
443	0.1191
444	0.1186
445	0.1181
446	0.1177
447	0.1169
448	0.1162
449	0.1121
450	0.11
451	0.1079
452	0.1069
453	0.1069
454	0.1067
455	0.1066
456	0.1061
457	0.1048
458	0.1025
459	0.1014
460	0.1006
461	0.0987
462	0.0969
463	0.0966
464	0.0941
465	0.0934
466	0.0929
467	0.0928
468	0.0922
469	0.0921
470	0.0916
471	0.0907
472	0.0903
473	0.0899
474	0.0888
475	0.0882
476	0.0881
477	0.0877
478	0.0873
479	0.0866
480	0.0835
481	0.0827
482	0.0817
483	0.0817
484	0.0812
485	0.0812
486	0.0803
487	0.0799
488	0.079
489	0.0784
490	0.0775
491	0.0774
492	0.0765
493	0.0758
494	0.0738
495	0.0732
496	0.0725
497	0.0725
498	0.0723
499	0.0711
500	0.0706
501	0.0705
502	0.0703
503	0.0669
504	0.0667
505	0.0659
506	0.0647
507	0.0634
508	0.0631
509	0.0616
510	0.0613
511	0.0602
512	0.0594
513	0.0592
514	0.0583
515	0.0554
516	0.0553
517	0.0536
518	0.053
519	0.0526
520	0.0524
521	0.0503
522	0.05
523	0.05
524	0.0488
525	0.0478
526	0.0476
527	0.047
528	0.0456
529	0.0423
530	0.0419
531	0.0411
532	0.041
533	0.0408
534	0.0378
535	0.0375
536	0.0362
537	0.0334
538	0.0319
539	0.0276
540	0.0258
541	0.0239
542	0.0218
543	0.019
544	0.0167
545	0.0131
546	14.6
547	13.3074
548	11.225
549	11.1708
550	10.7293
551	10.6573
552	10.6325
553	10.59
554	10.4276
555	10.2038
556	10.1988
557	10.1976
558	10.1789
559	10.1307
560	10.1166
561	10.0938
562	10.0905
563	10.0262
564	9.972
565	9.93
566	9.9144
567	9.7788
568	9.7327
569	9.7176
570	9.7035
571	9.6587
572	9.4322
573	9.3054
574	9.2767
575	9.2433
576	9.1313
577	9.0969
578	9.0965
579	9.0909
580	9.0322
581	9.0079
582	8.9569
583	8.9543
584	8.9538
585	8.9294
586	8.9104
587	8.9062
588	8.8865
589	8.879
590	8.8491
591	8.8315
592	8.8053
593	8.8048
594	8.8013
595	8.7673
596	8.7549
597	8.7542
598	8.7367
599	8.7097
600	8.664
601	8.6215
602	8.6
603	8.5628
604	8.5152
605	8.5134
606	8.4985
607	8.4758
608	8.4266
609	8.4189
610	8.4173
611	8.3025
612	8.2971
613	8.2877
614	8.2424
615	8.2401
616	8.1204
617	8.0685
618	8.0288
619	8.0225
620	8.0076
621	7.945
622	7.9392
623	7.9077
624	7.9034
625	7.8582
626	7.8447
627	7.8097
628	7.7826
629	7.7584
630	7.7181
631	7.678
632	7.6166
633	7.604
634	7.5614
635	7.5339
636	7.5299
637	7.5255
638	7.5117
639	7.5004
640	7.4852
641	7.4599
642	7.4558
643	7.4291
644	7.4249
645	7.4224
646	7.4135
647	7.4016
648	7.3868
649	7.3199
650	7.2993
651	7.2794
652	7.2709
653	7.2448
654	7.1947
655	7.1582
656	7.1026
657	7.0812
658	7.0273
659	7.0265
660	7.0214
661	6.9979
662	6.9136
663	6.9135
664	6.911
665	6.9016
666	6.8942
667	6.8237
668	6.7927
669	6.7219
670	6.711
671	6.7063
672	6.6955
673	6.6588
674	6.6495
675	6.5806
676	6.5679
677	6.5431
678	6.4971
679	6.4719
680	6.4449
681	6.3901
682	6.383
683	6.3081
684	6.3078
685	6.2636
686	6.2545
687	6.2097
688	6.1898
689	6.1536
690	6.152
691	6.139
692	6.1292
693	6.1186
694	6.0948
695	6.0284
696	6.0248
697	6.0235
698	6.0143
699	6.0088
700	5.9291
701	5.9063
702	5.8643
703	5.8346
704	5.8089
705	5.7561
706	5.7408
707	5.7189
708	5.7174
709	5.6927
710	5.6646
711	5.6126
712	5.5757
713	5.5693
714	5.5599
715	5.5434
716	5.5
717	5.485
718	5.4841
719	5.4529
720	5.4476
721	5.4454
722	5.4329
723	5.4161
724	5.4065
725	5.3348
726	5.3312
727	5.3281
728	5.32
729	5.2834
730	5.282
731	5.2475
732	5.2422
733	5.189
734	5.1216
735	5.0929
736	5.0718
737	5.0496
738	5.0368
739	5.0271
740	4.9942
741	4.9345
742	4.9102
743	4.9
744	4.8643
745	4.8603
746	4.8378
747	4.7322
748	4.7244
749	4.7208
750	4.6941
751	4.6708
752	4.6544
753	4.5635
754	4.5419
755	4.437
756	4.4284
757	4.4048
758	4.3976
759	4.347
760	4.3077
761	4.2684
762	4.2373
763	4.2144
764	4.2037
765	4.1906
766	4.128
767	4.0954
768	4.0436
769	3.9318
770	3.8958
771	3.8598
772	3.8577
773	3.804
774	3.7853
775	3.7213
776	3.5885
777	3.5856
778	3.5826
779	3.5465
780	3.5327
781	3.4815
782	3.4803
783	3.4779
784	3.4387
785	3.3895
786	3.3839
787	3.3324
788	3.2799
789	3.2536
790	3.2492
791	3.2383
792	3.2333
793	3.2161
794	3.1991
795	3.1264
796	3.1242
797	3.1201
798	3.0638
799	3.0116
800	2.9792
801	2.9623
802	2.9531
803	2.9504
804	2.9428
805	2.8932
806	2.893
807	2.8892
808	2.865
809	2.8257
810	2.8067
811	2.7965
812	2.7759
813	2.7649
814	2.7588
815	2.7189
816	2.7134
817	2.7084
818	2.7035
819	2.7023
820	2.6864
821	2.6559
822	2.6494
823	2.6463
824	2.6269
825	2.6265
826	2.603
827	2.5842
828	2.569
829	2.568
830	2.555
831	2.5483
832	2.5396
833	2.521
834	2.502
835	2.496
836	2.4848
837	2.4796
838	2.4732
839	2.4703
840	2.4701
841	2.436
842	2.4307
843	2.4254
844	2.4221
845	2.4193
846	2.4151
847	2.4094
848	2.409
849	2.4
850	2.4
851	2.3826
852	2.3697
853	2.3689
854	2.3632
855	2.3571
856	2.3504
857	2.3484
858	2.3468
859	2.3456
860	2.3423
861	2.3414
862	2.329
863	2.3209
864	2.3194
865	2.319
866	2.3173
867	2.3154
868	2.3117
869	2.2992
870	2.29
871	2.289
872	2.2888
873	2.2852
874	2.2779
875	2.272
876	2.2706
877	2.2665
878	2.255
879	2.252
