Sample	YEAR	MONTH	Location	Sex
1	1	1	1	2
2	1	1	3	2
3	1	1	1	2
5	1	1	1	2
6	1	1	1	2
7	1	1	1	2
8	1	1	3	2
9	1	1	3	2
10	1	2	1	2
11	1	1	1	2
12	1	6	1	2
13	1	2	1	2
14	1	1	1	2
15	1	6	1	2
16	1	6	1	2
17	1	6	3	2
18	1	1	1	2
19	1	5	3	2
20	1	5	1	2
21	1	5	3	2
22	1	6	1	2
23	1	5	1	2
24	1	5	1	1
25	1	6	1	2
26	1	6	1	2
27	1	6	1	2
28	1	6	1	2
29	1	6	1	2
30	1	6	1	2
31	1	5	1	2
32	1	6	1	2
33	1	6	1	2
34	1	2	1	2
35	1	5	1	2
36	1	6	1	2
37	1	5	1	2
38	1	6	1	2
39	1	5	1	2
40	1	6	3	2
41	1	6	1	2
42	1	6	1	2
43	1	6	1	2
44	1	6	1	2
45	1	5	3	2
46	1	6	1	2
47	1	5	1	2
48	1	5	3	1
49	1	5	1	2
50	1	6	1	2
51	1	6	1	2
52	1	6	1	2
53	1	6	1	2
54	1	5	1	2
55	1	5	1	2
56	1	5	3	2
57	1	5	1	2
58	1	6	1	1
59	1	5	1	2
60	1	6	1	1
61	1	6	1	1
62	1	5	3	1
63	1	6	1	1
64	1	5	1	2
65	1	6	1	1
66	1	5	1	1
67	1	6	1	1
68	1	5	1	1
69	1	6	1	1
70	1	6	1	1
71	1	5	1	1
72	1	6	1	1
73	1	6	1	1
74	1	6	1	1
75	1	6	1	1
76	1	5	3	2
77	1	5	1	1
78	1	6	1	1
79	1	5	3	1
80	1	5	1	1
81	1	5	1	1
82	1	5	3	1
83	1	5	1	1
84	1	5	1	1
85	1	4	3	1
86	1	5	1	1
87	1	5	1	1
88	1	6	1	1
89	1	5	1	1
90	1	6	1	1
91	1	6	1	1
92	1	6	1	1
93	1	5	1	2
94	1	6	1	1
95	1	5	1	1
96	1	5	1	1
97	1	5	1	1
98	1	6	3	1
99	1	5	1	1
100	1	6	3	1
101	1	6	3	1
102	1	5	3	2
103	1	5	1	1
104	1	5	3	1
105	1	5	1	1
106	1	6	3	1
107	1	5	1	1
108	1	5	3	1
109	1	5	1	1
110	1	5	1	1
111	1	5	1	1
112	1	6	1	1
113	1	6	1	1
114	1	5	1	1
115	1	5	1	1
116	1	5	1	1
117	1	6	1	1
118	1	5	1	1
119	1	5	3	1
120	1	6	1	1
121	1	5	3	1
122	1	5	1	1
123	1	5	1	1
124	1	5	1	1
125	1	5	3	1
126	1	5	1	1
127	1	5	1	1
128	1	5	1	1
129	1	5	3	1
130	1	6	1	1
131	1	5	1	2
132	1	3	3	1
133	1	6	1	1
134	1	5	1	1
135	1	5	1	1
136	1	5	1	1
137	1	4	3	1
138	1	5	1	1
139	1	5	1	1
140	1	5	1	1
141	1	5	1	1
142	1	5	3	1
143	1	3	3	1
144	1	5	3	1
145	1	6	1	1
146	1	5	1	1
147	1	5	1	1
148	1	4	3	1
149	1	4	3	1
150	1	5	3	1
151	1	5	3	1
152	1	4	3	1
153	1	6	1	1
154	1	4	3	1
155	1	5	1	1
156	1	5	3	1
157	1	6	1	1
158	1	5	1	1
159	1	4	3	1
160	1	5	3	2
161	1	4	3	1
162	1	6	1	1
163	1	6	1	1
164	1	5	1	1
165	1	5	1	1
166	1	5	1	1
167	1	3	3	1
168	1	5	1	1
169	1	5	3	1
170	1	4	3	1
171	1	3	1	1
172	1	6	1	2
173	1	5	1	1
174	1	4	3	1
175	1	5	1	1
176	1	4	3	1
177	1	5	3	1
178	1	5	1	2
179	1	5	1	2
180	1	5	1	1
181	1	5	1	2
182	1	5	3	2
183	1	4	3	1
184	1	5	1	2
185	1	3	1	1
186	1	5	1	2
187	1	5	1	1
188	1	3	1	1
189	1	4	3	1
190	1	5	1	1
191	1	3	1	1
192	1	3	3	1
193	1	5	1	2
194	1	3	1	1
195	1	3	3	1
196	1	2	1	1
197	1	5	1	1
198	1	1	1	1
199	1	5	1	1
200	1	5	1	1
201	1	5	1	1
202	1	3	3	1
203	1	3	3	1
204	1	1	1	1
205	1	3	1	1
206	1	6	3	1
207	1	5	1	1
208	1	3	3	1
209	1	2	1	1
210	1	5	1	1
211	1	3	3	1
212	1	5	1	2
213	1	5	3	2
214	1	3	3	1
215	1	5	1	2
216	1	5	1	2
217	1	3	1	1
218	1	5	3	2
219	1	5	3	2
220	1	5	1	2
221	1	3	1	1
222	1	5	1	1
223	1	3	3	1
224	1	5	1	2
225	1	5	1	1
226	1	5	1	2
227	1	4	3	1
228	1	2	1	1
229	1	5	1	1
230	1	6	1	2
231	1	3	1	1
232	1	4	3	1
233	1	5	1	2
234	1	2	1	1
235	1	3	3	1
236	1	4	3	1
237	1	4	3	1
238	1	3	1	1
239	1	5	1	1
240	1	5	1	1
241	1	5	3	2
242	1	5	1	1
243	1	5	1	2
244	1	1	1	1
245	1	5	1	1
246	1	3	3	1
247	1	5	1	2
248	1	5	1	2
249	1	3	3	1
250	1	3	1	1
251	1	3	3	1
252	1	3	1	1
253	1	3	3	1
254	1	5	1	1
255	1	1	1	2
256	1	4	3	1
257	1	3	3	1
258	1	5	1	2
259	1	5	3	2
260	1	5	3	2
261	1	3	1	2
262	1	4	3	1
263	1	4	3	1
264	1	1	1	2
265	1	2	1	1
266	1	5	1	2
267	1	3	1	1
268	1	5	1	1
269	1	5	1	1
270	1	3	1	1
271	1	1	3	1
272	1	3	1	1
273	1	5	3	2
274	1	3	3	1
275	1	2	1	1
276	1	3	1	1
277	1	6	1	1
278	1	4	3	1
279	1	1	1	1
280	1	3	3	1
281	1	1	1	1
282	1	3	1	1
283	1	2	3	1
284	1	3	1	1
285	1	5	1	1
286	1	6	1	1
287	1	4	3	1
288	1	2	3	1
289	1	4	3	1
290	1	3	1	1
291	1	3	3	1
292	1	1	3	2
293	1	4	3	2
294	1	5	1	2
295	1	5	1	2
296	1	5	1	2
297	1	4	3	1
298	1	3	1	1
299	1	5	1	2
300	1	5	1	2
301	1	3	1	2
302	1	1	1	1
303	1	6	1	2
304	1	2	1	1
305	1	5	1	2
306	1	4	3	1
307	1	3	1	1
308	1	3	1	1
309	1	5	1	2
310	1	3	1	1
311	1	5	1	2
312	1	2	3	1
313	1	4	3	2
314	1	5	1	2
315	1	5	3	2
316	1	4	3	2
317	1	1	1	1
318	1	3	3	1
319	1	2	3	1
320	1	2	3	1
321	1	3	3	1
322	1	5	1	2
323	1	5	1	2
324	1	5	1	2
325	1	4	3	2
326	1	2	3	2
327	1	2	3	1
328	1	2	3	1
329	1	1	1	1
330	1	3	3	1
331	1	6	1	2
332	1	3	3	1
333	1	2	1	2
334	1	3	1	2
335	1	2	1	2
336	1	5	3	2
337	1	3	1	1
338	1	5	1	1
339	1	5	1	2
340	1	2	1	1
341	1	2	1	1
342	1	2	1	1
343	1	5	1	2
344	1	3	1	2
345	1	6	1	2
346	1	2	3	1
347	1	3	1	2
348	1	4	3	2
349	1	3	3	2
350	1	4	3	2
351	1	4	3	2
352	1	1	1	2
353	1	3	1	1
354	1	3	3	1
355	1	5	1	2
356	1	2	1	2
357	1	5	3	2
358	1	3	3	1
359	1	2	1	1
360	1	2	3	1
361	1	5	1	2
362	1	5	1	2
363	1	4	3	1
364	1	3	3	1
365	1	3	3	1
366	1	3	3	1
367	1	3	1	1
368	1	2	1	1
369	1	4	3	2
370	1	3	1	2
371	1	2	3	1
372	1	4	3	2
373	1	1	1	2
374	1	3	3	2
375	1	5	1	2
376	1	5	1	1
377	1	4	3	2
378	1	4	3	1
379	1	5	1	2
380	1	4	3	2
381	1	1	3	1
382	1	2	1	1
383	1	2	3	1
384	1	3	1	2
385	1	2	1	1
386	1	4	3	2
387	1	1	1	2
388	1	2	1	1
389	1	2	1	1
390	1	3	3	2
391	1	2	1	1
392	1	2	1	1
393	1	1	1	1
394	1	1	1	1
395	1	3	1	2
396	1	6	1	2
397	1	4	3	2
398	1	5	3	2
399	1	3	1	1
400	1	1	1	2
401	1	3	3	2
402	1	2	1	2
403	1	2	1	2
404	1	3	1	2
405	1	3	1	2
406	1	5	1	2
407	1	3	1	2
408	1	3	1	2
409	1	2	1	2
410	1	2	1	1
411	1	2	3	1
412	1	2	1	1
413	1	3	1	2
414	1	5	1	2
415	1	2	1	1
416	1	2	1	2
417	1	2	1	1
418	1	1	1	2
419	1	3	1	2
420	1	5	1	2
421	1	3	1	1
422	1	2	1	2
423	1	2	1	1
424	1	1	1	1
425	1	3	1	2
426	1	4	3	2
427	1	1	1	1
428	1	4	3	2
429	1	6	1	2
430	1	3	1	2
431	1	1	1	1
432	1	1	1	2
433	1	3	1	2
434	1	3	1	2
435	1	2	1	1
436	1	2	1	1
437	1	2	1	1
438	1	2	1	2
439	1	2	1	2
440	1	3	1	1
441	1	3	3	2
442	1	3	1	2
443	1	4	3	2
444	1	3	3	1
445	1	2	1	1
446	1	1	1	2
447	1	1	1	2
448	1	1	1	1
449	1	2	1	1
450	1	3	1	2
451	1	4	3	1
452	1	1	1	2
453	1	1	1	1
454	1	3	1	2
455	1	3	1	2
456	1	1	1	1
457	1	4	3	2
458	1	2	1	2
459	1	2	3	1
460	1	3	1	2
461	1	1	1	1
462	1	1	1	1
463	1	4	3	2
464	1	2	1	2
465	1	3	3	2
466	1	2	1	1
467	1	2	3	1
468	1	1	1	2
469	1	1	1	2
470	1	2	3	2
471	1	2	1	1
472	1	1	1	2
473	1	3	3	2
474	1	1	3	1
475	1	4	3	2
476	1	2	3	1
477	1	2	1	1
478	1	1	3	2
479	1	1	1	1
480	1	2	1	2
481	1	2	1	1
482	1	2	3	1
483	1	2	1	1
484	1	1	1	2
485	1	2	1	2
486	1	1	1	2
487	1	2	3	2
488	1	1	1	1
489	1	4	3	2
490	1	2	1	2
491	1	3	1	1
492	1	1	1	2
493	1	3	1	2
494	1	1	1	1
495	1	2	1	2
496	1	3	1	2
497	1	3	1	2
498	1	5	1	2
499	1	1	1	1
500	1	4	3	2
501	1	2	1	2
502	1	3	1	2
503	1	3	1	2
504	1	1	1	2
505	1	1	1	2
506	1	1	1	1
507	1	1	1	2
508	1	1	1	2
509	1	3	1	2
510	1	5	1	2
511	1	4	3	2
512	1	2	1	2
513	1	2	1	2
514	1	2	1	2
515	1	2	1	1
516	1	1	1	2
517	1	3	3	2
518	1	2	1	1
519	1	1	3	1
520	1	3	1	2
521	1	3	3	2
522	1	2	1	2
523	1	5	1	2
524	1	1	1	2
525	1	1	1	2
526	1	2	1	2
527	1	1	3	1
528	1	4	3	2
529	1	4	3	2
530	1	1	1	2
531	1	6	1	2
532	1	4	3	2
533	1	1	1	2
534	1	1	3	2
535	1	1	1	1
536	1	2	1	2
537	1	1	3	1
538	1	1	1	2
539	1	1	1	1
540	1	1	1	2
541	1	3	1	2
542	1	4	3	1
543	1	2	1	1
544	1	6	1	1
545	1	5	1	1
546	2	10	1	2
547	2	8	1	2
548	2	10	1	2
549	2	11	1	2
550	2	10	1	2
551	2	12	1	2
552	2	11	1	2
553	2	11	1	2
554	2	11	1	2
555	2	11	1	2
556	2	10	1	2
557	2	9	1	2
558	2	10	1	2
559	2	11	1	2
560	2	11	1	2
561	2	12	1	2
562	2	11	1	2
563	2	11	1	2
564	2	11	1	2
565	2	11	1	2
566	2	8	1	2
567	2	10	1	2
568	2	11	1	2
569	2	12	1	2
570	2	11	1	2
571	2	11	1	2
572	2	11	1	2
573	2	9	1	2
574	2	9	1	2
575	2	10	1	2
576	2	9	1	2
577	2	11	1	2
578	2	10	1	2
579	2	12	1	2
580	2	10	1	2
581	2	10	1	2
582	2	11	1	2
583	2	8	1	2
584	2	10	1	2
585	2	10	1	2
586	2	10	1	2
587	2	1	3	2
588	2	11	1	2
589	2	8	1	2
590	2	10	1	2
591	2	9	1	2
592	2	9	1	2
593	2	7	3	2
594	2	10	1	2
595	2	9	1	2
596	2	10	1	2
597	2	9	1	2
598	2	9	1	2
599	2	10	1	2
600	2	11	1	2
601	2	10	1	2
602	2	11	1	2
603	2	9	1	2
604	2	8	1	2
605	2	9	1	2
606	2	11	1	2
607	2	10	1	2
608	2	11	1	2
609	2	10	1	2
610	2	10	1	2
611	2	9	1	2
612	2	11	1	2
613	2	10	1	2
614	2	10	1	2
615	2	10	1	2
616	2	9	1	2
617	2	10	1	2
618	2	12	1	2
619	2	8	1	2
620	2	11	1	2
621	2	10	1	2
622	2	10	1	2
623	2	8	1	2
624	2	8	1	2
625	2	8	1	2
626	2	11	1	2
627	2	8	1	2
628	2	9	1	2
629	2	10	1	2
630	2	8	1	2
631	2	8	1	2
632	2	9	1	2
633	2	8	1	2
634	2	9	1	2
635	2	10	1	2
636	2	10	1	2
637	2	7	3	2
638	2	4	4	2
639	2	8	1	2
640	2	7	3	2
641	2	8	1	2
642	2	8	1	2
643	2	8	1	2
644	2	9	1	2
645	2	9	1	2
646	2	9	1	2
647	2	11	1	2
648	2	9	1	2
649	2	11	1	2
650	2	10	1	2
651	2	9	1	2
652	2	9	1	2
653	2	8	1	2
654	2	8	1	2
655	2	7	3	2
656	2	11	1	2
657	2	5	1	2
658	2	8	1	2
659	2	7	3	2
660	2	11	1	2
661	2	7	3	2
662	2	5	1	2
663	2	11	3	2
664	2	4	4	2
665	2	8	1	2
666	2	9	1	2
667	2	8	1	2
668	2	9	1	2
669	2	9	1	2
670	2	9	1	2
671	2	6	1	2
672	2	8	1	2
673	2	7	3	2
674	2	8	1	2
675	2	6	3	2
676	2	6	1	2
677	2	8	3	2
678	2	8	1	2
679	2	7	3	2
680	2	7	3	2
681	2	7	3	2
682	2	7	3	2
683	2	8	1	2
684	2	7	3	2
685	2	7	3	2
686	2	6	3	2
687	2	7	3	2
688	2	5	1	2
689	2	4	4	2
690	2	7	3	2
691	2	8	1	2
692	2	9	1	2
693	2	6	3	2
694	2	9	1	2
695	2	11	1	2
696	2	7	3	2
697	2	7	3	2
698	2	7	3	2
699	2	7	3	2
700	2	4	4	2
701	2	8	3	2
702	2	7	3	2
703	2	6	1	2
704	2	7	3	2
705	2	8	1	2
706	2	7	3	2
707	2	7	3	2
708	2	7	3	2
709	2	4	4	2
710	2	7	3	2
711	2	7	3	2
712	2	7	3	2
713	2	5	1	2
714	2	11	1	2
715	2	11	1	2
716	2	9	1	2
717	2	6	3	2
718	2	4	4	2
719	2	8	3	2
720	2	5	1	2
721	2	7	3	2
722	2	8	1	2
723	2	11	1	2
724	2	5	3	2
725	2	7	3	2
726	2	4	4	2
727	2	6	3	2
728	2	7	3	2
729	2	7	3	2
730	2	5	1	2
731	2	6	1	2
732	2	7	3	2
733	2	5	1	2
734	2	4	4	2
735	2	6	1	2
736	2	4	4	2
737	2	7	3	2
738	2	11	1	2
739	2	4	4	2
740	2	7	3	2
741	2	7	3	2
742	2	4	4	2
743	2	6	1	2
744	2	7	3	2
745	2	6	1	2
746	2	6	1	2
747	2	4	4	2
748	2	7	3	2
749	2	4	4	2
750	2	6	3	2
751	2	4	4	2
752	2	4	4	2
753	2	4	4	2
754	2	5	1	2
755	2	6	1	2
756	2	7	3	2
757	2	7	3	2
758	2	5	1	2
759	2	5	1	2
760	2	5	1	2
761	2	4	4	2
762	2	5	1	2
763	2	10	1	1
764	2	6	1	2
765	2	11	1	1
766	2	6	1	2
767	2	5	3	2
768	2	6	1	2
769	2	4	4	2
770	2	6	3	2
771	2	11	1	1
772	2	6	1	2
773	2	9	1	1
774	2	4	4	2
775	2	4	4	2
776	2	4	4	2
777	2	6	3	2
778	2	8	1	1
779	2	6	3	2
780	2	5	1	2
781	2	5	1	2
782	2	6	3	2
783	2	4	4	2
784	2	6	1	2
785	2	8	1	1
786	2	8	1	1
787	2	8	1	1
788	2	6	1	1
789	2	4	1	1
790	2	6	1	1
791	2	6	1	1
792	2	8	1	1
793	2	11	1	1
794	2	8	1	1
795	2	5	1	1
796	2	11	1	1
797	2	5	1	2
798	2	4	1	2
799	2	10	1	1
800	2	8	1	1
801	2	6	1	2
802	2	6	1	1
803	2	8	1	1
804	2	5	1	2
805	2	6	1	1
806	2	5	1	2
807	2	6	1	1
808	2	6	1	1
809	2	7	3	1
810	2	6	1	1
811	2	8	1	1
812	2	5	1	2
813	2	5	1	1
814	2	5	1	1
815	2	8	1	1
816	2	11	1	1
817	2	6	1	1
818	2	4	1	1
819	2	5	3	1
820	2	6	3	1
821	2	4	3	1
822	2	6	1	1
823	2	8	1	1
824	2	5	1	1
825	2	10	1	1
826	2	7	3	1
827	2	9	1	1
828	2	12	1	1
829	2	8	1	1
830	2	8	1	1
831	2	5	1	2
832	2	9	1	1
833	2	5	1	2
834	2	11	1	1
835	2	7	3	1
836	2	5	1	1
837	2	10	1	1
838	2	7	3	1
839	2	6	1	1
840	2	6	3	2
841	2	4	1	1
842	2	5	1	2
843	2	12	1	1
844	2	6	1	1
845	2	4	3	1
846	2	4	3	1
847	2	2	1	1
