Year	Stilt_Oahu	Stilt_Maui	Stilt_Kauai_Niihau	Coot_Oahu	Coot_Maui	Coot_Kauai_Niihau	Moorhen_Oahu	Moorhen_Kauai	Rainfall																																		
1956	163	169	NA	528	177	NA	NA	2	15.16																																		
1957	272	190	NA	338	273	NA	NA	NA	15.48																																		
1958	549	159	NA	449	256	NA	NA	2	16.26																																		
1959	533	211	NA	822	170	NA	NA	10	21.25																																		
1960	NA	232	NA	NA	188	NA	NA	4	10.94																																		
1961	134	155	NA	717	149	NA	NA	10	19.93																																		
1962	175	282	NA	12	205	NA	NA	12	12.63																																		
1963	356	170	NA	169	108	NA	1	10	20.09																																		
1964	485	164	NA	98	79	NA	3	8	10.02																																		
1965	184	162	NA	112	53	NA	25	NA	30.91																																		
1966	242	253	NA	77	75	NA	21	17	12.49																																		
1967	209	188	NA	106	80	NA	6	7	32.70																																		
1968	175	226	NA	64	104	NA	13	44	18.40																																		
1969	162	171	NA	15	122	NA	5	50	25.21																																		
1970	322	207	NA	130	78	NA	22	26	18.61																																		
1971	362	189	NA	84	76	NA	12	10	20.13																																		
1972	342	274	NA	132	161	NA	15	NA	15.71																																		
1973	509	352	NA	122	114	NA	1	7	10.27																																		
1974	107	245	NA	41	63	NA	5	1	18.68																																		
1975	110	340	NA	83	151	NA	10	38	13.74																																		
1976	249	335	291	148	177	555	17	92	12.83																																		
1977	738	302	397	148	154	1928	26	113	11.50																																		
1978	396	159	312	126	41	983	28	81	19.15																																		
1979	211	154	133	105	78	141	155	79	26.82																																		
1980	384	238	216	261	83	1278	140	72	27.87																																		
1981	418	410	320	234	86	791	120	84	12.85																																		
1982	357	210	87	396	31	228	127	67	34.04																																		
1983	231	296	NA	960	158	NA	271	43	13.05																																		
1984	621	339	314	1153	111	1167	282	52	8.56																																		
1985	322	435	NA	791	189	NA	127	67	20.00																																		
1986	484	298	175	493	115	1203	195	55	18.39																																		
1987	821	243	NA	737	57	NA	179	42	24.31																																		
1988	478	296	59	250	57	60	132	36	26.79																																		
1989	740	215	247	542	92	1048	127	32	40.63																																		
1990	515	172	200	415	41	715	102	98	35.20																																		
1991	371	197	192	261	61	877	64	116	16.09																																		
1992	562	366	184	450	175	932	89	107	16.98																																		
1993	393	284	305	339	90	780	101	129	12.69																																		
1994	NA	212	NA	NA	68	NA	NA	240	13.93																																		
1995	598	191	243	303	57	879	60	294	13.45																																		
1996	530	297	41	214	87	184	60	348	31.00																																		
1997	558	262	391	317	113	870	49	210	23.08																																		
1998	502	424	NA	899	396	NA	91	131	6.76																																		
1999	442	364	269	1004	384	689	69	106	9.66																																		
2000	499	526	NA	634	422	NA	132	138	9.72																																		
2001	620	337	NA	668	538	NA	182	132	10.53																																		
2002	692	297	NA	589	234	NA	146	73	15.07																																		
2003	240	258	NA	885	85	NA	129	92	13.83																																		
