Farm	Month	Year	Sex	clas1_4	LCT	KFI	Ecervi	Tb
AL	10	00	1	4	191	20.45	0	0
AL	10	00	1	4	180	16.4	0	0
AL	10	00	1	3	192	15.9	2.38	0
AL	10	00	1	4	196	17.3	0	0
AL	10	00	1	4	204	NA	0	NA
AL	10	00	1	4	190	16.3	0	0
AL	10	00	1	4	196	22.2	1.21	NA
AL	10	00	1	4	200	14.7	0	1
AL	10	00	1	4	197	13.5	0.8	0
AL	10	00	1	4	208	15.15	0	0
AL	10	00	1	4	216	15.2	0	0
AL	10	00	1	4	199	14.5	0.9	1
AL	10	00	1	4	178	11.55	53.6	1
AL	10	00	1	4	206	14	14.37	0
AL	11	02	2	3	164	24.52	0	0
AU	12	99	1	3	173	NA	27.7554	0
AU	12	99	1	3	172	26	5.4846	0
AU	12	99	1	4	184	16.1	5.4846	0
AU	12	99	1	3	170	NA	0	NA
AU	12	99	1	3	155	NA	0	NA
AU	12	99	1	4	195	28	36.0654	0
AU	12	99	1	4	180	NA	0	0
AU	12	99	1	4	190	27	3.9888	0
AU	12	99	1	3	169	NA	3.6564	NA
AU	12	99	1	4	184	NA	NA	NA
AU	12	99	1	4	169	NA	177.3354	0
AU	12	99	1	4	188	28.93	24.93	0
AU	12	99	1	4	185	NA	286.695	NA
AU	12	99	1	4	185	23	0.6648	0
AU	12	99	1	4	190	NA	NA	0
AU	12	99	1	3	158	24	3.6564	0
AU	12	99	1	3	153	NA	0	0
AU	12	99	1	4	167	NA	5.4846	NA
AU	12	99	1	4	174	NA	77.6154	NA
AU	12	99	1	3	170	41	24.93	0
AU	12	99	1	4	180	14	49.86	0
AU	02	01	1	4	173	20.6	2.5	0
AU	02	01	1	4	175	NA	50.9	NA
AU	02	01	1	3	176	11.85	24.15	0
AU	02	01	1	4	184	14.55	22	0
AU	02	01	1	3	153	NA	24.55	NA
AU	02	01	1	4	NA	NA	NA	NA
AU	02	01	NA	NA	NA	NA	NA	NA
AU	02	01	NA	3	NA	NA	NA	NA
AU	02	01	1	3	178	29.25	143.14	0
AU	02	01	1	3	174	16.25	9.7	0
AU	02	01	1	4	161	9.75	237.8	0
AU	02	01	1	3	169	NA	131.4	0
AU	02	01	1	3	170	15.05	27.62	0
AU	02	01	1	3	160	NA	20.7	NA
AU	02	01	1	4	175	15.55	20	0
AU	02	01	1	4	184	NA	104.1	NA
BA	01	00	2	NA	143	35	7.9776	0
BA	01	00	2	3	148	NA	38.226	0
BA	01	00	2	2	122	NA	0	NA
BA	01	00	2	4	139	NA	66.48	0
BA	01	00	2	NA	150	NA	NA	NA
BA	01	00	2	3	137	NA	0	NA
BA	01	00	2	NA	145	NA	0	0
BA	01	00	2	4	168	76	11.634	0
BA	01	00	2	3	161	55	2.8254	0
BA	01	00	2	NA	153	95	NA	0
BA	01	00	2	4	156	NA	116.34	0
BA	01	00	NA	1	116	20	0	0
BA	01	00	NA	1	128	NA	0	0
BA	01	00	2	4	148	NA	0	0
BA	01	00	1	4	170	NA	5.4846	NA
BA	01	00	2	3	158	NA	NA	0
BA	01	00	2	NA	NA	NA	NA	NA
BA	01	00	2	4	NA	20	NA	0
BA	01	00	2	4	NA	NA	NA	0
BA	01	00	2	4	NA	132	NA	0
BA	01	00	2	2	145	NA	28.5864	NA
BA	01	00	2	3	138	NA	0.3324	0
BA	01	00	NA	1	NA	NA	0	0
BA	01	00	NA	1	125	NA	2.8254	NA
BA	01	00	NA	1	134	NA	0	0
BA	01	00	1	2	149	17	NA	NA
BA	01	00	2	1	125	NA	0	0
BA	12	01	1	1	132	21.155	0	NA
BA	12	01	2	3	161	NA	NA	0
BA	12	01	2	4	158	NA	NA	NA
BA	12	01	2	4	154	33.19	14.9	0
BA	12	01	2	2	138	18.72	1.99	1
BA	12	01	2	4	164.3	2.51	1.85	NA
BA	12	01	NA	NA	NA	43.805	NA	NA
BA	12	01	2	4	159	53.49	15.58	0
BA	12	01	2	3	164	17.705	4.21	0
BA	12	01	2	3	153.5	53.085	19	0
BA	12	01	2	4	153	NA	NA	NA
BA	12	01	2	4	162	NA	NA	NA
BA	12	01	2	2	156	21.35	0	0
BA	12	01	2	4	164	NA	NA	NA
BA	12	01	2	4	169	NA	NA	NA
BA	12	01	2	2	150	14.965	0	0
BA	12	01	2	2	140	NA	1.21	0
BA	12	01	2	4	168	59.52	2.47	0
BA	12	01	2	3	163	NA	NA	NA
BA	12	01	2	4	165.2	NA	0	0
BA	12	01	2	4	147	NA	NA	NA
BA	12	01	2	2	148	34.69	NA	0
BA	12	01	2	1	129	NA	58	NA
BA	12	01	2	4	163	NA	NA	NA
BA	12	01	1	1	131	23.505	NA	NA
BA	12	01	2	4	165	33.69	NA	0
BA	12	01	2	3	168.5	14.76	7.91	0
BA	12	01	NA	NA	NA	NA	1	NA
BA	12	01	NA	NA	NA	NA	0	NA
BA	11	02	2	4	161	20.265	6	0
BA	11	02	2	2	137	11.27	477.36	0
BA	11	00	1	4	183	16	6.2	0
BA	11	00	1	3	173	10.55	126.1	0
BA	11	00	1	4	177	15	140	0
BA	11	00	1	4	175	9.35	475.7	0
BA	11	00	1	3	169	13.37	29.2	0
BA	11	00	1	4	178	9.7	168.7	0
BA	11	00	1	4	180	5.8	147.8	1
BA	11	00	1	4	187	7.3	51.9	0
BA	11	00	1	4	187	6.25	252.8	0
BA	11	00	1	4	176	11.85	266.9	0
BA	11	00	1	4	185	20.865	199.6	0
BA	11	00	1	3	159	10.285	40.1	0
BA	11	00	1	4	202	NA	84.9	NA
BA	11	00	1	4	159	51.305	15.9	0
BA	11	00	1	4	182	NA	285.3	0
