Sample Year Month Location Sex GSI
24 24 1 5 1 1 5.297
48 48 1 5 3 1 4.2968
58 58 1 6 1 1 3.5008
60 60 1 6 1 1 3.2487
61 61 1 6 1 1 3.2304
62 62 1 5 3 1 3.2263
63 63 1 6 1 1 3.1848
65 65 1 6 1 1 2.9683
66 66 1 5 1 1 2.9544
67 67 1 6 1 1 2.939
68 68 1 5 1 1 2.9327
69 69 1 6 1 1 2.8933
70 70 1 6 1 1 2.8593
71 71 1 5 1 1 2.8534
72 72 1 6 1 1 2.8188
73 73 1 6 1 1 2.8129
74 74 1 6 1 1 2.8037
75 75 1 6 1 1 2.7928
77 77 1 5 1 1 2.6601
78 78 1 6 1 1 2.6492
79 79 1 5 3 1 2.6353
80 80 1 5 1 1 2.6341
81 81 1 5 1 1 2.6241
82 82 1 5 3 1 2.6151
83 83 1 5 1 1 2.6064
84 84 1 5 1 1 2.5951
85 85 1 4 3 1 2.5781
86 86 1 5 1 1 2.5674
87 87 1 5 1 1 2.5616
88 88 1 6 1 1 2.5545
89 89 1 5 1 1 2.5526
90 90 1 6 1 1 2.499
91 91 1 6 1 1 2.4789
92 92 1 6 1 1 2.4606
94 94 1 6 1 1 2.4425
95 95 1 5 1 1 2.4356
96 96 1 5 1 1 2.4238
97 97 1 5 1 1 2.4145
98 98 1 6 3 1 2.4062
99 99 1 5 1 1 2.4038
100 100 1 6 3 1 2.402
101 101 1 6 3 1 2.4006
103 103 1 5 1 1 2.3976
104 104 1 5 3 1 2.3923
105 105 1 5 1 1 2.3882
106 106 1 6 3 1 2.3848
107 107 1 5 1 1 2.3847
108 108 1 5 3 1 2.3746
109 109 1 5 1 1 2.3731
110 110 1 5 1 1 2.3723
111 111 1 5 1 1 2.3714
112 112 1 6 1 1 2.3496
113 113 1 6 1 1 2.3495
114 114 1 5 1 1 2.3282
115 115 1 5 1 1 2.3251
116 116 1 5 1 1 2.322
117 117 1 6 1 1 2.3018
118 118 1 5 1 1 2.3011
119 119 1 5 3 1 2.3
120 120 1 6 1 1 2.286
121 121 1 5 3 1 2.2739
122 122 1 5 1 1 2.2397
123 123 1 5 1 1 2.2392
124 124 1 5 1 1 2.2346
125 125 1 5 3 1 2.2333
126 126 1 5 1 1 2.2233
127 127 1 5 1 1 2.2004
128 128 1 5 1 1 2.187
129 129 1 5 3 1 2.1861
130 130 1 6 1 1 2.1664
132 132 1 3 3 1 2.1571
133 133 1 6 1 1 2.1351
134 134 1 5 1 1 2.1322
135 135 1 5 1 1 2.0922
136 136 1 5 1 1 2.0816
137 137 1 4 3 1 2.0776
138 138 1 5 1 1 2.0694
139 139 1 5 1 1 2.0692
140 140 1 5 1 1 2.0688
141 141 1 5 1 1 2.058
142 142 1 5 3 1 2.0413
143 143 1 3 3 1 2.0259
144 144 1 5 3 1 2.0219
145 145 1 6 1 1 2.0017
146 146 1 5 1 1 1.9842
147 147 1 5 1 1 1.9821
148 148 1 4 3 1 1.9814
149 149 1 4 3 1 1.9621
150 150 1 5 3 1 1.9606
151 151 1 5 3 1 1.9531
152 152 1 4 3 1 1.9021
153 153 1 6 1 1 1.8667
154 154 1 4 3 1 1.8623
155 155 1 5 1 1 1.8468
156 156 1 5 3 1 1.8295
157 157 1 6 1 1 1.8123
158 158 1 5 1 1 1.7984
159 159 1 4 3 1 1.7695
161 161 1 4 3 1 1.7217
162 162 1 6 1 1 1.7187
163 163 1 6 1 1 1.6963
164 164 1 5 1 1 1.6953
165 165 1 5 1 1 1.6927
166 166 1 5 1 1 1.6779
167 167 1 3 3 1 1.6679
168 168 1 5 1 1 1.6669
169 169 1 5 3 1 1.616
170 170 1 4 3 1 1.6157
171 171 1 3 1 1 1.6
173 173 1 5 1 1 1.5658
174 174 1 4 3 1 1.5652
175 175 1 5 1 1 1.5375
176 176 1 4 3 1 1.5303
177 177 1 5 3 1 1.5284
180 180 1 5 1 1 1.5011
183 183 1 4 3 1 1.4546
185 185 1 3 1 1 1.4418
187 187 1 5 1 1 1.4348
188 188 1 3 1 1 1.4332
189 189 1 4 3 1 1.4224
190 190 1 5 1 1 1.3878
191 191 1 3 1 1 1.3794
192 192 1 3 3 1 1.3694
194 194 1 3 1 1 1.3306
195 195 1 3 3 1 1.3258
196 196 1 2 1 1 1.309
197 197 1 5 1 1 1.2717
198 198 1 1 1 1 1.261
199 199 1 5 1 1 1.2585
200 200 1 5 1 1 1.2556
201 201 1 5 1 1 1.2392
202 202 1 3 3 1 1.2091
203 203 1 3 3 1 1.2007
204 204 1 1 1 1 1.1997
205 205 1 3 1 1 1.1983
206 206 1 6 3 1 1.181
207 207 1 5 1 1 1.1784
208 208 1 3 3 1 1.1496
209 209 1 2 1 1 1.147
210 210 1 5 1 1 1.1318
211 211 1 3 3 1 1.1313
214 214 1 3 3 1 1.0964
217 217 1 3 1 1 1.0419
221 221 1 3 1 1 1.0226
222 222 1 5 1 1 1.0218
223 223 1 3 3 1 1.0215
225 225 1 5 1 1 0.9874
227 227 1 4 3 1 0.9868
228 228 1 2 1 1 0.9824
229 229 1 5 1 1 0.968
231 231 1 3 1 1 0.9479
232 232 1 4 3 1 0.9418
234 234 1 2 1 1 0.9219
235 235 1 3 3 1 0.9172
236 236 1 4 3 1 0.9
237 237 1 4 3 1 0.8954
238 238 1 3 1 1 0.8877
239 239 1 5 1 1 0.8876
240 240 1 5 1 1 0.8761
242 242 1 5 1 1 0.8567
244 244 1 1 1 1 0.8373
245 245 1 5 1 1 0.8111
246 246 1 3 3 1 0.799
249 249 1 3 3 1 0.7294
250 250 1 3 1 1 0.7004
251 251 1 3 3 1 0.6882
252 252 1 3 1 1 0.6839
253 253 1 3 3 1 0.6767
254 254 1 5 1 1 0.6748
256 256 1 4 3 1 0.66
257 257 1 3 3 1 0.6459
262 262 1 4 3 1 0.5876
263 263 1 4 3 1 0.5798
265 265 1 2 1 1 0.5685
267 267 1 3 1 1 0.556
268 268 1 5 1 1 0.5558
269 269 1 5 1 1 0.5556
270 270 1 3 1 1 0.5533
271 271 1 1 3 1 0.5518
272 272 1 3 1 1 0.5493
274 274 1 3 3 1 0.5444
275 275 1 2 1 1 0.5318
276 276 1 3 1 1 0.5307
277 277 1 6 1 1 0.5175
278 278 1 4 3 1 0.4943
279 279 1 1 1 1 0.4921
280 280 1 3 3 1 0.4832
281 281 1 1 1 1 0.4808
282 282 1 3 1 1 0.4774
283 283 1 2 3 1 0.4756
284 284 1 3 1 1 0.4653
285 285 1 5 1 1 0.4506
286 286 1 6 1 1 0.4377
287 287 1 4 3 1 0.4259
288 288 1 2 3 1 0.4132
289 289 1 4 3 1 0.3976
290 290 1 3 1 1 0.3905
291 291 1 3 3 1 0.3904
297 297 1 4 3 1 0.343
298 298 1 3 1 1 0.3421
302 302 1 1 1 1 0.3289
304 304 1 2 1 1 0.3122
306 306 1 4 3 1 0.3041
307 307 1 3 1 1 0.3039
308 308 1 3 1 1 0.3028
310 310 1 3 1 1 0.2895
312 312 1 2 3 1 0.287
317 317 1 1 1 1 0.2758
318 318 1 3 3 1 0.2739
319 319 1 2 3 1 0.2738
320 320 1 2 3 1 0.2683
321 321 1 3 3 1 0.265
327 327 1 2 3 1 0.2577
328 328 1 2 3 1 0.2529
329 329 1 1 1 1 0.2506
330 330 1 3 3 1 0.2463
332 332 1 3 3 1 0.2352
337 337 1 3 1 1 0.2252
338 338 1 5 1 1 0.2242
340 340 1 2 1 1 0.2214
341 341 1 2 1 1 0.2207
342 342 1 2 1 1 0.2204
346 346 1 2 3 1 0.2189
353 353 1 3 1 1 0.2065
354 354 1 3 3 1 0.2061
358 358 1 3 3 1 0.2028
359 359 1 2 1 1 0.2024
360 360 1 2 3 1 0.1985
363 363 1 4 3 1 0.1935
364 364 1 3 3 1 0.1893
365 365 1 3 3 1 0.1892
366 366 1 3 3 1 0.1887
367 367 1 3 1 1 0.1875
368 368 1 2 1 1 0.1859
371 371 1 2 3 1 0.1827
376 376 1 5 1 1 0.175
378 378 1 4 3 1 0.1681
381 381 1 1 3 1 0.1661
382 382 1 2 1 1 0.1657
383 383 1 2 3 1 0.1654
385 385 1 2 1 1 0.1621
388 388 1 2 1 1 0.1611
389 389 1 2 1 1 0.1589
391 391 1 2 1 1 0.1555
392 392 1 2 1 1 0.1549
393 393 1 1 1 1 0.1543
394 394 1 1 1 1 0.1541
399 399 1 3 1 1 0.1492
410 410 1 2 1 1 0.1402
411 411 1 2 3 1 0.1401
412 412 1 2 1 1 0.14
415 415 1 2 1 1 0.1395
417 417 1 2 1 1 0.139
421 421 1 3 1 1 0.1347
423 423 1 2 1 1 0.1344
424 424 1 1 1 1 0.134
427 427 1 1 1 1 0.133
