Sample GSI YEAR MONTH Location Sex
1 1 10.4432 1 1 1 2
2 2 9.8331 1 1 3 2
3 3 9.7356 1 1 1 2
4 5 8.9926 1 1 1 2
5 6 8.7707 1 1 1 2
6 7 8.2576 1 1 1 2
7 8 7.4045 1 1 3 2
8 9 7.2156 1 1 3 2
9 10 6.8372 1 2 1 2
10 11 6.3882 1 1 1 2
11 12 6.3672 1 6 1 2
12 13 6.2998 1 2 1 2
13 14 6.0726 1 1 1 2
14 15 5.8395 1 6 1 2
15 16 5.807 1 6 1 2
16 17 5.7774 1 6 3 2
17 18 5.7757 1 1 1 2
18 19 5.6484 1 5 3 2
19 20 5.6141 1 5 1 2
20 21 5.6017 1 5 3 2
21 22 5.551 1 6 1 2
22 23 5.311 1 5 1 2
23 24 5.297 1 5 1 1
24 25 5.2253 1 6 1 2
25 26 5.1667 1 6 1 2
26 27 5.1405 1 6 1 2
27 28 5.1292 1 6 1 2
28 29 5.0782 1 6 1 2
29 30 5.0612 1 6 1 2
30 31 5.0097 1 5 1 2
31 32 4.9745 1 6 1 2
32 33 4.9172 1 6 1 2
33 34 4.9041 1 2 1 2
34 35 4.9009 1 5 1 2
35 36 4.8783 1 6 1 2
36 37 4.7918 1 5 1 2
37 38 4.7862 1 6 1 2
38 39 4.7681 1 5 1 2
39 40 4.6603 1 6 3 2
40 41 4.6148 1 6 1 2
41 42 4.6108 1 6 1 2
42 43 4.5811 1 6 1 2
43 44 4.5528 1 6 1 2
44 45 4.4897 1 5 3 2
45 46 4.4573 1 6 1 2
46 47 4.3419 1 5 1 2
47 48 4.2968 1 5 3 1
48 49 4.2676 1 5 1 2
49 50 4.2048 1 6 1 2
50 51 4.1981 1 6 1 2
51 52 4.1006 1 6 1 2
52 53 4.0654 1 6 1 2
53 54 3.9219 1 5 1 2
54 55 3.9197 1 5 1 2
55 56 3.9141 1 5 3 2
56 57 3.5899 1 5 1 2
57 58 3.5008 1 6 1 1
58 59 3.2541 1 5 1 2
59 60 3.2487 1 6 1 1
60 61 3.2304 1 6 1 1
61 62 3.2263 1 5 3 1
62 63 3.1848 1 6 1 1
63 64 3.13 1 5 1 2
64 65 2.9683 1 6 1 1
65 66 2.9544 1 5 1 1
66 67 2.939 1 6 1 1
67 68 2.9327 1 5 1 1
68 69 2.8933 1 6 1 1
69 70 2.8593 1 6 1 1
70 71 2.8534 1 5 1 1
71 72 2.8188 1 6 1 1
72 73 2.8129 1 6 1 1
73 74 2.8037 1 6 1 1
74 75 2.7928 1 6 1 1
75 76 2.7601 1 5 3 2
76 77 2.6601 1 5 1 1
77 78 2.6492 1 6 1 1
78 79 2.6353 1 5 3 1
79 80 2.6341 1 5 1 1
80 81 2.6241 1 5 1 1
81 82 2.6151 1 5 3 1
82 83 2.6064 1 5 1 1
83 84 2.5951 1 5 1 1
84 85 2.5781 1 4 3 1
85 86 2.5674 1 5 1 1
86 87 2.5616 1 5 1 1
87 88 2.5545 1 6 1 1
88 89 2.5526 1 5 1 1
89 90 2.499 1 6 1 1
90 91 2.4789 1 6 1 1
91 92 2.4606 1 6 1 1
92 93 2.4559 1 5 1 2
93 94 2.4425 1 6 1 1
94 95 2.4356 1 5 1 1
95 96 2.4238 1 5 1 1
96 97 2.4145 1 5 1 1
97 98 2.4062 1 6 3 1
98 99 2.4038 1 5 1 1
99 100 2.402 1 6 3 1
100 101 2.4006 1 6 3 1
101 102 2.3993 1 5 3 2
102 103 2.3976 1 5 1 1
103 104 2.3923 1 5 3 1
104 105 2.3882 1 5 1 1
105 106 2.3848 1 6 3 1
106 107 2.3847 1 5 1 1
107 108 2.3746 1 5 3 1
108 109 2.3731 1 5 1 1
109 110 2.3723 1 5 1 1
110 111 2.3714 1 5 1 1
111 112 2.3496 1 6 1 1
112 113 2.3495 1 6 1 1
113 114 2.3282 1 5 1 1
114 115 2.3251 1 5 1 1
115 116 2.322 1 5 1 1
116 117 2.3018 1 6 1 1
117 118 2.3011 1 5 1 1
118 119 2.3 1 5 3 1
119 120 2.286 1 6 1 1
120 121 2.2739 1 5 3 1
121 122 2.2397 1 5 1 1
122 123 2.2392 1 5 1 1
123 124 2.2346 1 5 1 1
124 125 2.2333 1 5 3 1
125 126 2.2233 1 5 1 1
126 127 2.2004 1 5 1 1
127 128 2.187 1 5 1 1
128 129 2.1861 1 5 3 1
129 130 2.1664 1 6 1 1
130 131 2.1595 1 5 1 2
131 132 2.1571 1 3 3 1
132 133 2.1351 1 6 1 1
133 134 2.1322 1 5 1 1
134 135 2.0922 1 5 1 1
135 136 2.0816 1 5 1 1
136 137 2.0776 1 4 3 1
137 138 2.0694 1 5 1 1
138 139 2.0692 1 5 1 1
139 140 2.0688 1 5 1 1
140 141 2.058 1 5 1 1
141 142 2.0413 1 5 3 1
142 143 2.0259 1 3 3 1
143 144 2.0219 1 5 3 1
144 145 2.0017 1 6 1 1
145 146 1.9842 1 5 1 1
146 147 1.9821 1 5 1 1
147 148 1.9814 1 4 3 1
148 149 1.9621 1 4 3 1
149 150 1.9606 1 5 3 1
150 151 1.9531 1 5 3 1
151 152 1.9021 1 4 3 1
152 153 1.8667 1 6 1 1
153 154 1.8623 1 4 3 1
154 155 1.8468 1 5 1 1
155 156 1.8295 1 5 3 1
156 157 1.8123 1 6 1 1
157 158 1.7984 1 5 1 1
158 159 1.7695 1 4 3 1
159 160 1.7658 1 5 3 2
160 161 1.7217 1 4 3 1
161 162 1.7187 1 6 1 1
162 163 1.6963 1 6 1 1
163 164 1.6953 1 5 1 1
164 165 1.6927 1 5 1 1
165 166 1.6779 1 5 1 1
166 167 1.6679 1 3 3 1
167 168 1.6669 1 5 1 1
168 169 1.616 1 5 3 1
169 170 1.6157 1 4 3 1
170 171 1.6 1 3 1 1
171 172 1.5894 1 6 1 2
172 173 1.5658 1 5 1 1
173 174 1.5652 1 4 3 1
174 175 1.5375 1 5 1 1
175 176 1.5303 1 4 3 1
176 177 1.5284 1 5 3 1
177 178 1.528 1 5 1 2
178 179 1.5168 1 5 1 2
179 180 1.5011 1 5 1 1
180 181 1.49 1 5 1 2
181 182 1.4554 1 5 3 2
182 183 1.4546 1 4 3 1
183 184 1.451 1 5 1 2
184 185 1.4418 1 3 1 1
185 186 1.437 1 5 1 2
186 187 1.4348 1 5 1 1
187 188 1.4332 1 3 1 1
188 189 1.4224 1 4 3 1
189 190 1.3878 1 5 1 1
190 191 1.3794 1 3 1 1
191 192 1.3694 1 3 3 1
192 193 1.3402 1 5 1 2
193 194 1.3306 1 3 1 1
194 195 1.3258 1 3 3 1
195 196 1.309 1 2 1 1
196 197 1.2717 1 5 1 1
197 198 1.261 1 1 1 1
198 199 1.2585 1 5 1 1
199 200 1.2556 1 5 1 1
200 201 1.2392 1 5 1 1
201 202 1.2091 1 3 3 1
202 203 1.2007 1 3 3 1
203 204 1.1997 1 1 1 1
204 205 1.1983 1 3 1 1
205 206 1.181 1 6 3 1
206 207 1.1784 1 5 1 1
207 208 1.1496 1 3 3 1
208 209 1.147 1 2 1 1
209 210 1.1318 1 5 1 1
210 211 1.1313 1 3 3 1
211 212 1.1275 1 5 1 2
212 213 1.1014 1 5 3 2
213 214 1.0964 1 3 3 1
214 215 1.0565 1 5 1 2
215 216 1.042 1 5 1 2
216 217 1.0419 1 3 1 1
217 218 1.04 1 5 3 2
218 219 1.0375 1 5 3 2
219 220 1.0286 1 5 1 2
220 221 1.0226 1 3 1 1
221 222 1.0218 1 5 1 1
222 223 1.0215 1 3 3 1
223 224 1.001 1 5 1 2
224 225 0.9874 1 5 1 1
225 226 0.9872 1 5 1 2
226 227 0.9868 1 4 3 1
227 228 0.9824 1 2 1 1
228 229 0.968 1 5 1 1
229 230 0.9612 1 6 1 2
230 231 0.9479 1 3 1 1
231 232 0.9418 1 4 3 1
232 233 0.9369 1 5 1 2
233 234 0.9219 1 2 1 1
234 235 0.9172 1 3 3 1
235 236 0.9 1 4 3 1
236 237 0.8954 1 4 3 1
237 238 0.8877 1 3 1 1
238 239 0.8876 1 5 1 1
239 240 0.8761 1 5 1 1
240 241 0.8734 1 5 3 2
241 242 0.8567 1 5 1 1
242 243 0.8398 1 5 1 2
243 244 0.8373 1 1 1 1
244 245 0.8111 1 5 1 1
245 246 0.799 1 3 3 1
246 247 0.7363 1 5 1 2
247 248 0.7354 1 5 1 2
248 249 0.7294 1 3 3 1
249 250 0.7004 1 3 1 1
250 251 0.6882 1 3 3 1
251 252 0.6839 1 3 1 1
252 253 0.6767 1 3 3 1
253 254 0.6748 1 5 1 1
254 255 0.6716 1 1 1 2
255 256 0.66 1 4 3 1
256 257 0.6459 1 3 3 1
257 258 0.6379 1 5 1 2
258 259 0.6268 1 5 3 2
259 260 0.6255 1 5 3 2
260 261 0.6212 1 3 1 2
261 262 0.5876 1 4 3 1
262 263 0.5798 1 4 3 1
263 264 0.5758 1 1 1 2
264 265 0.5685 1 2 1 1
265 266 0.5602 1 5 1 2
266 267 0.556 1 3 1 1
267 268 0.5558 1 5 1 1
268 269 0.5556 1 5 1 1
269 270 0.5533 1 3 1 1
270 271 0.5518 1 1 3 1
271 272 0.5493 1 3 1 1
272 273 0.5463 1 5 3 2
273 274 0.5444 1 3 3 1
274 275 0.5318 1 2 1 1
275 276 0.5307 1 3 1 1
