Species	Sex	Wingcrd	Tarsus	Head	Culmen	Nalospi	Wt	Observer	Age
SSTS	Male	58	21.7	32.7	13.9	10.2	20.3	2	0
SSTS	Female	56.5	21.1	31.4	12.2	10.1	17.4	2	0
SSTS	Male	59	21	33.3	13.8	10	21	2	0
SSTS	Male	59	21.3	32.5	13.2	9.9	21	2	0
SSTS	Male	57	21	32.5	13.8	9.9	19.8	2	0
SSTS	Female	57	20.7	32.5	13.3	9.9	17.5	2	0
SSTS	Male	57	22	33.1	13.8	9.9	19.6	2	0
SSTS	Male	57	20.8	32.1	13.5	9.8	21.2	2	0
SSTS	Female	53.5	20.1	32.1	13.7	9.8	18.5	2	0
SSTS	Male	56.5	22.2	32.2	13.6	9.8	20.5	2	0
SSTS	Female	54.5	21.5	32.2	13.7	9.8	21.8	2	0
SSTS	Female	55	20.7	32.2	13.7	9.8	18.6	2	0
SSTS	Male	57	21.6	32.6	13.8	9.8	20.7	2	0
SSTS	Male	60	21.4	32.6	13.6	9.8	21.3	2	0
SSTS	Male	58.5	22	32.9	13.4	9.8	20.8	2	0
SSTS	Female	55	20.3	31.7	13.2	9.7	17.7	2	0
SSTS	Male	59	21	31.9	13.4	9.7	19.4	2	1
SSTS	Female	56.5	20.6	32	13.4	9.7	16.6	2	0
SSTS	Male	57.5	20.4	32.1	12.6	9.7	21	2	0
SSTS	Male	57.5	21.7	32.2	13	9.7	20.1	2	0
SSTS	Male	60	21.4	32.2	13.6	9.7	21.2	2	0
SSTS	Male	59	21.3	32.2	13.1	9.7	20.7	2	0
SSTS	Male	58	20.8	32.3	13.4	9.7	19.1	2	0
SSTS	Female	55	21.2	32.4	13.8	9.7	17.5	2	0
SSTS	Male	60.5	20.9	32.4	13.1	9.7	20.9	2	0
SSTS	Male	58.5	21.9	32.5	13.4	9.7	21.2	2	0
SSTS	Male	60	21.5	32.5	13.2	9.7	20.2	2	0
SSTS	Male	58.5	20.5	32.5	13.4	9.7	20.5	2	0
SSTS	Male	58	21.7	32.6	13.4	9.7	21.6	2	0
SSTS	Male	59.5	22	32.7	13.2	9.7	21.3	2	0
SSTS	Male	59	20.6	32.7	13.4	9.7	19.9	2	0
SSTS	Male	59	21.6	31.7	13.1	9.6	20.4	2	0
SSTS	Male	57	20.8	31.8	12.9	9.6	19.3	2	0
SSTS	Male	56.5	21.5	32.1	13	9.6	19.6	2	0
SSTS	Female	56	21.2	32.1	12.8	9.6	21.6	2	0
SSTS	Male	56.5	21	32.2	13.3	9.6	20.7	2	0
SSTS	Male	57	20.6	32.4	13.7	9.6	19.3	2	1
SSTS	Male	58	21.6	32.5	13.5	9.6	21	2	0
SSTS	Male	57.5	20.8	32.5	13.4	9.6	21.5	2	0
SSTS	Male	57	22.1	32.6	13.2	9.6	20.1	2	0
SSTS	Male	58	21.7	32.7	13.6	9.6	21.6	2	0
SSTS	Female	55.5	20.8	32.7	13.5	9.6	17.2	2	0
SSTS	Male	59	21	31.4	13.8	9.5	24.5	2	0
SSTS	Male	60	20.3	31.5	13.1	9.5	20.2	2	0
SSTS	Male	60	22.3	31.6	12.7	9.5	20.2	2	0
SSTS	Male	59	21.6	31.6	13.7	9.5	20.2	2	0
SSTS	Male	56	21.4	31.6	13	9.5	19.4	2	1
SSTS	Female	56.5	21.1	31.6	13.5	9.5	18.2	2	0
SSTS	Female	57	20.7	31.6	13.2	9.5	19.7	2	0
SSTS	Male	59	21.9	31.8	13.6	9.5	20	2	0
SSTS	Female	58	20.7	31.8	13.3	9.5	17.6	2	0
SSTS	Female	55	21.4	32	13.2	9.5	17.6	2	0
SSTS	Male	59	21.5	32.1	12.9	9.5	19.9	2	0
SSTS	Male	58	21.3	32.1	12.8	9.5	20	2	0
SSTS	Male	59	20.6	32.1	13.4	9.5	20.7	2	0
SSTS	Female	56.5	20.3	32.1	13.4	9.5	21.7	2	0
SSTS	Male	61	22.5	32.3	13.3	9.5	21	2	0
SSTS	Male	60	21.4	32.3	13.5	9.5	20.2	2	0
SSTS	Male	59	20.6	32.3	12.2	9.5	20.8	2	0
SSTS	Male	59	21.9	32.4	13.2	9.5	21	2	0
SSTS	Female	57.5	21.3	32.4	13.7	9.5	19.3	2	0
SSTS	Male	59	21	32.4	12.9	9.5	20.5	2	0
SSTS	Male	59.5	21.5	32.5	13.4	9.5	21.8	2	0
SSTS	Male	60	21	32.5	13.7	9.5	19.7	2	0
SSTS	Male	58.5	21.1	32.6	13.8	9.5	20.2	2	0
SSTS	Male	58	22.2	32.7	13.6	9.5	21.4	2	0
SSTS	Male	61	21.9	32.9	13.3	9.5	20.7	2	0
SSTS	Male	60	22.4	33.1	13.3	9.5	21.4	2	0
SSTS	Male	59	22.1	31.2	13.7	9.4	20.8	2	0
SSTS	Male	60.5	21.2	31.4	13.3	9.4	21.2	2	0
SSTS	Female	56.5	21.1	31.5	13.2	9.4	17.2	2	0
SSTS	Female	57	21.7	31.6	13	9.4	19	2	0
SSTS	Female	54	19.5	31.6	13.2	9.4	17.1	2	0
SSTS	Male	59	21.6	31.7	13	9.4	21.1	2	0
SSTS	Female	54	20.5	31.8	13	9.4	16.7	2	0
SSTS	Female	54	20	31.8	13.5	9.4	16	2	0
SSTS	Male	57.5	22.1	31.9	13	9.4	21.5	2	0
SSTS	Male	59	21.4	31.9	13.3	9.4	20.3	2	0
SSTS	Male	59	21.4	31.9	13.7	9.4	21.1	2	0
SSTS	Male	59.5	21.6	32	13.6	9.4	21.5	2	0
SSTS	Male	59	21.5	32	12.6	9.4	20.7	2	0
SSTS	Male	59	21.4	32	12.8	9.4	20.7	2	0
SSTS	Male	60.5	21.8	32.1	13	9.4	20.9	2	0
SSTS	Male	59	21.7	32.1	12.6	9.4	19.6	2	0
SSTS	Male	57	21.5	32.1	13.3	9.4	21.7	2	0
SSTS	Male	58.5	20.8	32.1	12.7	9.4	19.9	2	0
SSTS	Male	56.5	21.5	32.2	13	9.4	20.6	2	0
SSTS	Male	61	21.3	32.3	13.3	9.4	21.7	2	0
SSTS	Male	59	22.1	32.4	13.1	9.4	20.4	2	0
SSTS	Male	58	21.8	32.4	13.3	9.4	21.3	2	0
SSTS	Male	60	22.1	32.5	13.1	9.4	22.2	2	1
SSTS	Male	56.5	21.3	32.5	13.1	9.4	19.7	2	0
SSTS	Male	58.5	20.6	32.5	13.3	9.4	19.8	2	0
SSTS	Male	60	21.9	32.6	13.2	9.4	21.3	2	0
SSTS	Male	58	21.5	32.6	13.6	9.4	19.8	2	0
SSTS	Male	59	21.6	32.7	13.4	9.4	21.4	2	0
SSTS	Male	60	21.1	32.8	13.3	9.4	20.7	2	0
SSTS	Female	54	20.8	30.6	12.8	9.3	16.6	2	0
SSTS	Female	55	19.8	30.9	12.7	9.3	16.5	2	0
SSTS	Female	54	20.3	31	12.6	9.3	20.7	2	0
SSTS	Female	56	19.6	31	12.8	9.3	18.6	2	0
SSTS	Female	56	21	31.2	13	9.3	19.2	2	0
SSTS	Female	54	19.9	31.3	12.8	9.3	17.6	2	1
SSTS	Male	59	21	31.5	13.6	9.3	20	2	0
SSTS	Female	55	20.9	31.5	13.1	9.3	17.1	2	0
SSTS	Male	56	20.7	31.5	13.2	9.3	19.3	2	1
SSTS	Male	58	20.5	31.5	12.7	9.3	19.1	2	0
SSTS	Female	53	20.5	31.5	12.7	9.3	18.8	2	0
SSTS	Female	55	20.3	31.5	13.1	9.3	18.1	2	0
SSTS	Female	55.5	19.9	31.5	13.2	9.3	20.2	2	0
SSTS	Male	61.5	22.6	31.6	13.5	9.3	20.8	2	0
SSTS	Male	58	22.5	31.6	13.4	9.3	20.7	2	0
SSTS	Male	60	21.1	31.6	13.4	9.3	21.7	2	0
SSTS	Male	61	21	31.6	13.3	9.3	20.3	2	0
SSTS	Male	60	21.8	31.7	13.2	9.3	19.5	2	0
SSTS	Female	55	21	31.7	13.6	9.3	20.3	2	1
SSTS	Female	55.5	20.2	31.7	12.9	9.3	18.4	2	0
SSTS	Male	59	22	31.8	13.2	9.3	20.5	2	0
SSTS	Female	55	21.3	31.8	13.2	9.3	18.2	2	0
SSTS	Male	60	22.2	32	13.4	9.3	20	2	0
SSTS	Male	62	21.9	32	13.8	9.3	22.2	2	0
SSTS	Male	60	21.2	32	12.7	9.3	20	2	0
SSTS	Male	58	20.9	32	13.2	9.3	20.2	2	0
SSTS	Female	55.5	20.8	32	13.8	9.3	18.5	2	0
SSTS	Female	57	20.1	32	12	9.3	18.2	2	0
SSTS	Male	57.5	22.2	32.1	13.4	9.3	19.5	2	0
SSTS	Male	57.5	21.9	32.1	13.1	9.3	19.3	2	0
SSTS	Male	57.5	21.2	32.1	13.2	9.3	19.6	2	0
SSTS	Male	58	21	32.1	12.7	9.3	20.4	2	0
SSTS	Male	60.5	21.9	32.2	13.6	9.3	20.7	2	0
SSTS	Male	58.5	21.7	32.2	12.7	9.3	21.3	2	0
SSTS	Male	58	20.9	32.2	13.1	9.3	20.2	2	0
SSTS	Male	56.5	21.4	32.3	12.9	9.3	19.5	2	0
SSTS	Male	60	21.4	32.4	12.5	9.3	21.2	2	0
SSTS	Male	57	21.3	32.4	13.3	9.3	19.8	2	0
SSTS	Male	61	21.5	32.5	12.8	9.3	21.1	2	0
SSTS	Male	57.5	21.4	32.5	13.6	9.3	20.8	2	0
SSTS	Male	57	21.7	32.6	12.8	9.3	19.4	2	0
SSTS	Male	58	21.7	32.7	13.6	9.3	20.8	2	0
SSTS	Male	60	21.4	32.7	13.3	9.3	21.6	2	0
SSTS	Female	56	20.3	31	12.5	9.2	18.8	2	0
SSTS	Male	59	22.6	31.2	13.2	9.2	20.7	2	0
SSTS	Female	55	19.5	31.3	12.9	9.2	18	2	0
SSTS	Male	60.5	22	31.4	13.6	9.2	20.1	2	0
SSTS	Female	58	20.3	31.5	13	9.2	17.3	2	0
SSTS	Female	56	21.9	31.6	13.7	9.2	17.8	2	0
SSTS	Female	54	21.4	31.6	13.2	9.2	18.1	2	0
SSTS	Female	55	20.9	31.6	12.6	9.2	18.1	2	0
SSTS	Male	58.5	22.3	31.7	13.2	9.2	21.3	2	0
SSTS	Male	60	21.9	31.7	13.3	9.2	20.2	2	0
SSTS	Male	60	21.3	31.7	13.1	9.2	20.1	2	0
SSTS	Male	58.5	20.8	31.7	12.8	9.2	18.6	2	0
SSTS	Male	58	21.2	31.8	13.4	9.2	20.2	2	0
SSTS	Male	59.5	20.6	31.8	13.7	9.2	19.4	2	0
SSTS	Male	59	21.2	31.9	13.1	9.2	22	2	0
SSTS	Female	56	21.4	32	13	9.2	21.9	2	0
SSTS	Male	59	20.1	32	13.6	9.2	20	2	0
SSTS	Female	57	21.3	32.1	13.8	9.2	16.6	2	0
SSTS	Male	58.5	20.5	32.1	12.6	9.2	20.8	2	0
SSTS	Male	60	22.2	32.2	12.8	9.2	19.5	2	0
SSTS	Male	59	21.9	32.2	13.8	9.2	21.8	2	0
SSTS	Male	59	21.6	32.2	13.2	9.2	20.8	2	0
SSTS	Male	59	21.2	32.2	13	9.2	21.7	2	0
SSTS	Male	60	21	32.2	13	9.2	20	2	0
SSTS	Male	61	21.3	32.4	13.1	9.2	21.5	2	0
SSTS	Male	59	21	32.4	13.3	9.2	20	2	0
SSTS	Male	59	20.5	32.6	12.9	9.2	19.9	2	0
SSTS	Female	54	20.4	30.3	12.9	9.1	20.2	2	0
SSTS	Female	54	20.4	30.6	12.9	9.1	17.6	2	1
SSTS	Male	60	21.2	30.8	12.5	9.1	19.7	2	0
SSTS	Male	59	20.8	30.9	13	9.1	19.6	2	0
SSTS	Male	59	21.8	31	12.3	9.1	20.3	2	0
SSTS	Female	56	21	31	13.2	9.1	18	2	0
SSTS	Male	59.5	21.8	31.2	13	9.1	21.3	2	0
SSTS	Female	55	20.7	31.2	12.7	9.1	19.1	2	0
