Sample	Year	Month	Location	Sex	GSI
1	1	1	1	2	10.4432
2	1	1	3	2	9.8331
3	1	1	1	2	9.7356
4	1	1	1	2	9.3107
5	1	1	1	2	8.9926
6	1	1	1	2	8.7707
7	1	1	1	2	8.2576
8	1	1	3	2	7.4045
9	1	1	3	2	7.2156
10	1	2	1	2	6.8372
11	1	1	1	2	6.3882
12	1	6	1	2	6.3672
13	1	2	1	2	6.2998
14	1	1	1	2	6.0726
15	1	6	1	2	5.8395
16	1	6	1	2	5.807
17	1	6	3	2	5.7774
18	1	1	1	2	5.7757
19	1	5	3	2	5.6484
20	1	5	1	2	5.6141
21	1	5	3	2	5.6017
22	1	6	1	2	5.551
23	1	5	1	2	5.311
24	1	5	1	1	5.297
25	1	6	1	2	5.2253
26	1	6	1	2	5.1667
27	1	6	1	2	5.1405
28	1	6	1	2	5.1292
29	1	6	1	2	5.0782
30	1	6	1	2	5.0612
31	1	5	1	2	5.0097
32	1	6	1	2	4.9745
33	1	6	1	2	4.9172
34	1	2	1	2	4.9041
35	1	5	1	2	4.9009
36	1	6	1	2	4.8783
37	1	5	1	2	4.7918
38	1	6	1	2	4.7862
39	1	5	1	2	4.7681
40	1	6	3	2	4.6603
41	1	6	1	2	4.6148
42	1	6	1	2	4.6108
43	1	6	1	2	4.5811
44	1	6	1	2	4.5528
45	1	5	3	2	4.4897
46	1	6	1	2	4.4573
47	1	5	1	2	4.3419
48	1	5	3	1	4.2968
49	1	5	1	2	4.2676
50	1	6	1	2	4.2048
51	1	6	1	2	4.1981
52	1	6	1	2	4.1006
53	1	6	1	2	4.0654
54	1	5	1	2	3.9219
55	1	5	1	2	3.9197
56	1	5	3	2	3.9141
57	1	5	1	2	3.5899
58	1	6	1	1	3.5008
59	1	5	1	2	3.2541
60	1	6	1	1	3.2487
61	1	6	1	1	3.2304
62	1	5	3	1	3.2263
63	1	6	1	1	3.1848
64	1	5	1	2	3.13
65	1	6	1	1	2.9683
66	1	5	1	1	2.9544
67	1	6	1	1	2.939
68	1	5	1	1	2.9327
69	1	6	1	1	2.8933
70	1	6	1	1	2.8593
71	1	5	1	1	2.8534
72	1	6	1	1	2.8188
73	1	6	1	1	2.8129
74	1	6	1	1	2.8037
75	1	6	1	1	2.7928
76	1	5	3	2	2.7601
77	1	5	1	1	2.6601
78	1	6	1	1	2.6492
79	1	5	3	1	2.6353
80	1	5	1	1	2.6341
81	1	5	1	1	2.6241
82	1	5	3	1	2.6151
83	1	5	1	1	2.6064
84	1	5	1	1	2.5951
85	1	4	3	1	2.5781
86	1	5	1	1	2.5674
87	1	5	1	1	2.5616
88	1	6	1	1	2.5545
89	1	5	1	1	2.5526
90	1	6	1	1	2.499
91	1	6	1	1	2.4789
92	1	6	1	1	2.4606
93	1	5	1	2	2.4559
94	1	6	1	1	2.4425
95	1	5	1	1	2.4356
96	1	5	1	1	2.4238
97	1	5	1	1	2.4145
98	1	6	3	1	2.4062
99	1	5	1	1	2.4038
100	1	6	3	1	2.402
101	1	6	3	1	2.4006
102	1	5	3	2	2.3993
103	1	5	1	1	2.3976
104	1	5	3	1	2.3923
105	1	5	1	1	2.3882
106	1	6	3	1	2.3848
107	1	5	1	1	2.3847
108	1	5	3	1	2.3746
109	1	5	1	1	2.3731
110	1	5	1	1	2.3723
111	1	5	1	1	2.3714
112	1	6	1	1	2.3496
113	1	6	1	1	2.3495
114	1	5	1	1	2.3282
115	1	5	1	1	2.3251
116	1	5	1	1	2.322
117	1	6	1	1	2.3018
118	1	5	1	1	2.3011
119	1	5	3	1	2.3
120	1	6	1	1	2.286
121	1	5	3	1	2.2739
122	1	5	1	1	2.2397
123	1	5	1	1	2.2392
124	1	5	1	1	2.2346
125	1	5	3	1	2.2333
126	1	5	1	1	2.2233
127	1	5	1	1	2.2004
128	1	5	1	1	2.187
129	1	5	3	1	2.1861
130	1	6	1	1	2.1664
131	1	5	1	2	2.1595
132	1	3	3	1	2.1571
133	1	6	1	1	2.1351
134	1	5	1	1	2.1322
135	1	5	1	1	2.0922
136	1	5	1	1	2.0816
137	1	4	3	1	2.0776
138	1	5	1	1	2.0694
139	1	5	1	1	2.0692
140	1	5	1	1	2.0688
141	1	5	1	1	2.058
142	1	5	3	1	2.0413
143	1	3	3	1	2.0259
144	1	5	3	1	2.0219
145	1	6	1	1	2.0017
146	1	5	1	1	1.9842
147	1	5	1	1	1.9821
148	1	4	3	1	1.9814
149	1	4	3	1	1.9621
150	1	5	3	1	1.9606
151	1	5	3	1	1.9531
152	1	4	3	1	1.9021
153	1	6	1	1	1.8667
154	1	4	3	1	1.8623
155	1	5	1	1	1.8468
156	1	5	3	1	1.8295
157	1	6	1	1	1.8123
158	1	5	1	1	1.7984
159	1	4	3	1	1.7695
160	1	5	3	2	1.7658
161	1	4	3	1	1.7217
162	1	6	1	1	1.7187
163	1	6	1	1	1.6963
164	1	5	1	1	1.6953
165	1	5	1	1	1.6927
166	1	5	1	1	1.6779
167	1	3	3	1	1.6679
168	1	5	1	1	1.6669
169	1	5	3	1	1.616
170	1	4	3	1	1.6157
171	1	3	1	1	1.6
172	1	6	1	2	1.5894
173	1	5	1	1	1.5658
174	1	4	3	1	1.5652
175	1	5	1	1	1.5375
176	1	4	3	1	1.5303
177	1	5	3	1	1.5284
178	1	5	1	2	1.528
179	1	5	1	2	1.5168
180	1	5	1	1	1.5011
181	1	5	1	2	1.49
182	1	5	3	2	1.4554
183	1	4	3	1	1.4546
184	1	5	1	2	1.451
185	1	3	1	1	1.4418
186	1	5	1	2	1.437
187	1	5	1	1	1.4348
188	1	3	1	1	1.4332
189	1	4	3	1	1.4224
190	1	5	1	1	1.3878
191	1	3	1	1	1.3794
192	1	3	3	1	1.3694
193	1	5	1	2	1.3402
194	1	3	1	1	1.3306
195	1	3	3	1	1.3258
196	1	2	1	1	1.309
197	1	5	1	1	1.2717
198	1	1	1	1	1.261
199	1	5	1	1	1.2585
200	1	5	1	1	1.2556
201	1	5	1	1	1.2392
202	1	3	3	1	1.2091
203	1	3	3	1	1.2007
204	1	1	1	1	1.1997
205	1	3	1	1	1.1983
206	1	6	3	1	1.181
207	1	5	1	1	1.1784
208	1	3	3	1	1.1496
209	1	2	1	1	1.147
210	1	5	1	1	1.1318
211	1	3	3	1	1.1313
212	1	5	1	2	1.1275
213	1	5	3	2	1.1014
214	1	3	3	1	1.0964
215	1	5	1	2	1.0565
216	1	5	1	2	1.042
217	1	3	1	1	1.0419
218	1	5	3	2	1.04
219	1	5	3	2	1.0375
220	1	5	1	2	1.0286
221	1	3	1	1	1.0226
222	1	5	1	1	1.0218
223	1	3	3	1	1.0215
224	1	5	1	2	1.001
225	1	5	1	1	0.9874
226	1	5	1	2	0.9872
227	1	4	3	1	0.9868
228	1	2	1	1	0.9824
229	1	5	1	1	0.968
230	1	6	1	2	0.9612
231	1	3	1	1	0.9479
232	1	4	3	1	0.9418
233	1	5	1	2	0.9369
234	1	2	1	1	0.9219
235	1	3	3	1	0.9172
236	1	4	3	1	0.9
237	1	4	3	1	0.8954
238	1	3	1	1	0.8877
239	1	5	1	1	0.8876
240	1	5	1	1	0.8761
241	1	5	3	2	0.8734
242	1	5	1	1	0.8567
243	1	5	1	2	0.8398
244	1	1	1	1	0.8373
245	1	5	1	1	0.8111
246	1	3	3	1	0.799
247	1	5	1	2	0.7363
248	1	5	1	2	0.7354
249	1	3	3	1	0.7294
250	1	3	1	1	0.7004
251	1	3	3	1	0.6882
252	1	3	1	1	0.6839
253	1	3	3	1	0.6767
254	1	5	1	1	0.6748
255	1	1	1	2	0.6716
256	1	4	3	1	0.66
257	1	3	3	1	0.6459
258	1	5	1	2	0.6379
259	1	5	3	2	0.6268
260	1	5	3	2	0.6255
261	1	3	1	2	0.6212
262	1	4	3	1	0.5876
263	1	4	3	1	0.5798
264	1	1	1	2	0.5758
265	1	2	1	1	0.5685
266	1	5	1	2	0.5602
267	1	3	1	1	0.556
268	1	5	1	1	0.5558
269	1	5	1	1	0.5556
270	1	3	1	1	0.5533
271	1	1	3	1	0.5518
272	1	3	1	1	0.5493
273	1	5	3	2	0.5463
274	1	3	3	1	0.5444
275	1	2	1	1	0.5318
276	1	3	1	1	0.5307
277	1	6	1	1	0.5175
278	1	4	3	1	0.4943
279	1	1	1	1	0.4921
280	1	3	3	1	0.4832
281	1	1	1	1	0.4808
282	1	3	1	1	0.4774
283	1	2	3	1	0.4756
284	1	3	1	1	0.4653
285	1	5	1	1	0.4506
286	1	6	1	1	0.4377
287	1	4	3	1	0.4259
288	1	2	3	1	0.4132
289	1	4	3	1	0.3976
290	1	3	1	1	0.3905
291	1	3	3	1	0.3904
292	1	1	3	2	0.3828
293	1	4	3	2	0.3763
294	1	5	1	2	0.3759
295	1	5	1	2	0.3659
296	1	5	1	2	0.3541
297	1	4	3	1	0.343
298	1	3	1	1	0.3421
299	1	5	1	2	0.3392
300	1	5	1	2	0.3392
301	1	3	1	2	0.3352
302	1	1	1	1	0.3289
303	1	6	1	2	0.3267
304	1	2	1	1	0.3122
305	1	5	1	2	0.3117
306	1	4	3	1	0.3041
307	1	3	1	1	0.3039
308	1	3	1	1	0.3028
309	1	5	1	2	0.2986
310	1	3	1	1	0.2895
311	1	5	1	2	0.2878
312	1	2	3	1	0.287
313	1	4	3	2	0.2828
314	1	5	1	2	0.2786
315	1	5	3	2	0.2783
316	1	4	3	2	0.2773
317	1	1	1	1	0.2758
318	1	3	3	1	0.2739
319	1	2	3	1	0.2738
320	1	2	3	1	0.2683
321	1	3	3	1	0.265
322	1	5	1	2	0.2642
323	1	5	1	2	0.2641
324	1	5	1	2	0.2638
325	1	4	3	2	0.2636
326	1	2	3	2	0.26
327	1	2	3	1	0.2577
328	1	2	3	1	0.2529
329	1	1	1	1	0.2506
330	1	3	3	1	0.2463
331	1	6	1	2	0.2388
332	1	3	3	1	0.2352
333	1	2	1	2	0.2321
334	1	3	1	2	0.2316
335	1	2	1	2	0.2294
336	1	5	3	2	0.226
337	1	3	1	1	0.2252
338	1	5	1	1	0.2242
339	1	5	1	2	0.2219
340	1	2	1	1	0.2214
341	1	2	1	1	0.2207
342	1	2	1	1	0.2204
343	1	5	1	2	0.22
344	1	3	1	2	0.2199
345	1	6	1	2	0.2191
346	1	2	3	1	0.2189
347	1	3	1	2	0.2178
348	1	4	3	2	0.217
349	1	3	3	2	0.216
350	1	4	3	2	0.2156
351	1	4	3	2	0.2144
352	1	1	1	2	0.2092
353	1	3	1	1	0.2065
354	1	3	3	1	0.2061
355	1	5	1	2	0.2056
356	1	2	1	2	0.2046
357	1	5	3	2	0.2034
358	1	3	3	1	0.2028
359	1	2	1	1	0.2024
360	1	2	3	1	0.1985
361	1	5	1	2	0.1979
362	1	5	1	2	0.1938
363	1	4	3	1	0.1935
364	1	3	3	1	0.1893
365	1	3	3	1	0.1892
366	1	3	3	1	0.1887
367	1	3	1	1	0.1875
368	1	2	1	1	0.1859
369	1	4	3	2	0.1847
370	1	3	1	2	0.1842
371	1	2	3	1	0.1827
372	1	4	3	2	0.1815
373	1	1	1	2	0.1792
374	1	3	3	2	0.1782
375	1	5	1	2	0.1775
376	1	5	1	1	0.175
377	1	4	3	2	0.1714
378	1	4	3	1	0.1681
379	1	5	1	2	0.1681
380	1	4	3	2	0.1664
381	1	1	3	1	0.1661
382	1	2	1	1	0.1657
383	1	2	3	1	0.1654
384	1	3	1	2	0.164
385	1	2	1	1	0.1621
386	1	4	3	2	0.162
387	1	1	1	2	0.1618
388	1	2	1	1	0.1611
389	1	2	1	1	0.1589
390	1	3	3	2	0.1569
391	1	2	1	1	0.1555
392	1	2	1	1	0.1549
393	1	1	1	1	0.1543
394	1	1	1	1	0.1541
395	1	3	1	2	0.1516
396	1	6	1	2	0.1504
397	1	4	3	2	0.1503
398	1	5	3	2	0.1497
399	1	3	1	1	0.1492
400	1	1	1	2	0.149
401	1	3	3	2	0.1473
402	1	2	1	2	0.1472
403	1	2	1	2	0.1466
404	1	3	1	2	0.1465
405	1	3	1	2	0.1436
406	1	5	1	2	0.1433
407	1	3	1	2	0.1415
408	1	3	1	2	0.1412
409	1	2	1	2	0.1405
410	1	2	1	1	0.1402
411	1	2	3	1	0.1401
412	1	2	1	1	0.14
413	1	3	1	2	0.1399
414	1	5	1	2	0.1398
415	1	2	1	1	0.1395
416	1	2	1	2	0.1392
417	1	2	1	1	0.139
418	1	1	1	2	0.1379
419	1	3	1	2	0.137
420	1	5	1	2	0.1352
421	1	3	1	1	0.1347
422	1	2	1	2	0.1346
423	1	2	1	1	0.1344
424	1	1	1	1	0.134
425	1	3	1	2	0.1337
426	1	4	3	2	0.1336
427	1	1	1	1	0.133
428	1	4	3	2	0.132
429	1	6	1	2	0.1319
430	1	3	1	2	0.1318
431	1	1	1	1	0.1316
432	1	1	1	2	0.1307
433	1	3	1	2	0.1298
434	1	3	1	2	0.127
435	1	2	1	1	0.1261
436	1	2	1	1	0.1261
437	1	2	1	1	0.1239
438	1	2	1	2	0.1218
439	1	2	1	2	0.1218
440	1	3	1	1	0.1212
441	1	3	3	2	0.1205
